,TECH,CGNX,FICO,SEDG,MASI,GGG,FDS,BRO,WSM,TTC,RH,TREX,AXON,CREE,JAZZ,FIVE,DAR,DECK,CABO,RGEN,LAD,CLF,MANH,OLED,PEN,MKSI,SYNH,NBIX,RUN,CONE,AMED,SAM,MOH,LECO,IIVI,FSLR,CDAY,CHE,SMG,TPX,NDSN,LSCC,IAA,CROX,XPO,PCTY,RPM,LII,MAT,YETI,AZPN,STAA,TTEK,HQY,CHDN,BRKS,LHCG,ARWR,SLM,FOXF,LITE,CPT,NYT,TXRH,BLD,GMED,HALO,LFUS,MSA,HUBB,MIDD,KNX,WSO,PRI,EXEL,CSL,HELE,ATR,SCI,TKR,WTRG,IBKR,WEX,USD,OLLI,QDEL,G,ASGN,MEDP,SBNY,SSD,SAIL,CRNC,FCN,MPW,WING,GNTX,REXR,LAMR,EHC,FFIN,RGLD,LSI,SMTC,BLDR,RNR,BC,CCMP,WEN,SLAB,DCI,EGP,LSTR,CBSH,MRCY,SEIC,KNSL,WWD,JCOM,BHF,COR,EXP,PII,WH,QLYS,ITT,EVR,XEC,FR,UTHR,VVV,PZZA,NSP,HRC,CIEN,MMS,AGCO,STOR,CNXC,LPX,RCM,CDK,AM,NEOG,CNX,TOL,EBS,SF,IRDM,CASY,SYNA,RBC,ACC,CACI,SRCL,ESNT,SGMS,JACK,CC,NATI,GBCI,BYD,RLI,IART,ACIW,TRGP,TREE,ELY,LANC,COHR,EQT,NSA,ACHC,MSM,RYN,CRUS,ICUI,TNL,TDC,ENS,SAIC,HAIN,VMI,GO,FLO,CHH,CHX,HAE,CW,ASH,UMPQ,SXT,HR,CVLT,CLH,BLKB,RAMP,PNM,TGNA,VC,XTSLA,ETRN,NGVT,BCO,NUS,LOPE,ENV,GME,GXO WI,VSCO WI,GXO,VSCO,SAIA,MIME,OPCH,APPS,SUM
07/09/2021,1.61,1.36,1.35,1.3,1.18,1.17,1.17,1.14,1.12,1.07,1.06,1.05,1.04,1.02,1.0,0.99,0.99,0.98,0.96,0.95,0.93,0.88,0.86,0.85,0.85,0.85,0.84,0.84,0.83,0.81,0.8,0.78,0.73,0.72,0.71,0.71,0.7,0.7,0.69,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.65,0.64,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.51,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.48
07/12/2021,1.66,1.38,1.37,1.25,1.22,1.21,1.19,1.13,1.12,1.1,1.08,1.07,1.06,1.0,1.02,0.98,1.0,0.99,0.97,0.97,0.95,0.89,0.86,0.85,0.86,0.83,0.86,0.86,0.78,0.83,0.81,0.83,0.74,0.73,0.69,0.71,0.7,0.7,0.67,0.66,0.68,0.67,0.67,0.68,0.67,0.67,0.66,0.64,0.63,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.62,0.63,0.57,0.6,0.58,0.59,0.57,0.57,0.56,0.57,0.55,0.56,0.55,0.56,0.53,0.56,0.54,0.52,0.52,0.54,0.49,0.52,0.51,0.49,0.49,0.47,0.46,0.0,0.46,0.43,0.46,0.46,0.46,0.45,0.44,0.43,0.4,0.43,0.42,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.41,0.38,0.39,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.34,0.33,0.34,0.35,0.33,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.3,0.3,0.3,0.31,0.3,0.29,0.3,0.3,0.28,0.28,0.27,0.27,0.28,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.0,0.15,0.15,0.0,0.59,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.05
07/13/2021,1.66,1.38,1.37,1.25,1.22,1.21,1.19,1.13,1.12,1.1,1.08,1.07,1.06,1.0,1.02,0.98,1.0,0.99,0.97,0.97,0.95,0.89,0.86,0.85,0.86,0.83,0.86,0.86,0.78,0.83,0.81,0.83,0.74,0.73,0.69,0.71,0.7,0.7,0.67,0.66,0.68,0.67,0.67,0.68,0.67,0.67,0.66,0.64,0.63,0.63,0.63,0.62,0.61,0.6,0.6,0.6,0.62,0.63,0.57,0.6,0.58,0.59,0.57,0.57,0.56,0.57,0.55,0.56,0.55,0.56,0.53,0.56,0.54,0.52,0.52,0.54,0.49,0.52,0.51,0.49,0.49,0.47,0.46,0.0,0.46,0.43,0.46,0.46,0.46,0.45,0.44,0.43,0.4,0.43,0.42,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.41,0.38,0.39,0.38,0.38,0.38,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.34,0.33,0.34,0.35,0.33,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.3,0.3,0.3,0.31,0.3,0.29,0.3,0.3,0.28,0.28,0.27,0.27,0.28,0.25,0.25,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.16,0.15,0.0,0.15,0.15,0.0,0.59,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.05
07/14/2021,1.64,1.39,1.37,1.26,1.2,1.19,1.18,1.12,1.14,1.1,1.08,1.07,1.05,0.99,1.0,0.99,0.99,0.98,0.95,0.95,0.97,0.94,0.85,0.85,0.85,0.83,0.84,0.85,0.77,0.83,0.8,0.82,0.74,0.73,0.69,0.71,0.7,0.69,0.68,0.67,0.68,0.67,0.67,0.69,0.68,0.67,0.66,0.63,0.64,0.62,0.62,0.61,0.61,0.6,0.6,0.61,0.6,0.63,0.59,0.6,0.57,0.59,0.57,0.57,0.56,0.57,0.55,0.56,0.55,0.56,0.54,0.55,0.54,0.53,0.51,0.53,0.48,0.51,0.51,0.5,0.49,0.48,0.46,0.0,0.46,0.43,0.46,0.47,0.46,0.47,0.44,0.42,0.39,0.42,0.43,0.43,0.42,0.42,0.43,0.41,0.41,0.4,0.41,0.39,0.39,0.39,0.38,0.4,0.37,0.36,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.34,0.35,0.34,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.3,0.3,0.3,0.31,0.31,0.29,0.3,0.31,0.28,0.28,0.28,0.26,0.28,0.25,0.25,0.26,0.26,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56
07/15/2021,1.64,1.39,1.37,1.26,1.2,1.19,1.18,1.12,1.14,1.1,1.08,1.07,1.05,0.99,1.0,0.99,0.99,0.98,0.95,0.95,0.97,0.94,0.85,0.85,0.85,0.83,0.84,0.85,0.77,0.83,0.8,0.82,0.74,0.73,0.69,0.71,0.7,0.69,0.68,0.67,0.68,0.67,0.67,0.69,0.68,0.67,0.66,0.63,0.64,0.62,0.62,0.61,0.61,0.6,0.6,0.61,0.6,0.63,0.59,0.6,0.57,0.59,0.57,0.57,0.56,0.57,0.55,0.56,0.55,0.56,0.54,0.55,0.54,0.53,0.51,0.53,0.48,0.51,0.51,0.5,0.49,0.48,0.46,0.0,0.46,0.43,0.46,0.47,0.46,0.47,0.44,0.42,0.39,0.42,0.43,0.43,0.42,0.42,0.43,0.41,0.41,0.4,0.41,0.39,0.39,0.39,0.38,0.4,0.37,0.36,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.34,0.35,0.34,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.3,0.3,0.3,0.31,0.31,0.29,0.3,0.31,0.28,0.28,0.28,0.26,0.28,0.25,0.25,0.26,0.26,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56
07/16/2021,1.62,1.38,1.37,1.27,1.22,1.2,1.17,1.13,1.14,1.09,1.09,1.06,1.08,1.01,1.01,0.97,0.99,0.99,0.95,0.94,0.97,0.96,0.83,0.85,0.82,0.83,0.84,0.84,0.79,0.83,0.79,0.8,0.74,0.74,0.69,0.72,0.68,0.7,0.68,0.67,0.69,0.67,0.71,0.7,0.69,0.66,0.65,0.63,0.65,0.64,0.62,0.58,0.62,0.6,0.6,0.61,0.6,0.61,0.6,0.59,0.57,0.59,0.57,0.59,0.56,0.58,0.55,0.56,0.55,0.57,0.56,0.56,0.54,0.53,0.51,0.54,0.47,0.51,0.51,0.5,0.48,0.48,0.46,0.0,0.46,0.42,0.47,0.47,0.47,0.47,0.44,0.42,0.39,0.43,0.42,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.39,0.4,0.37,0.36,0.38,0.36,0.35,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.35,0.33,0.32,0.33,0.32,0.34,0.33,0.33,0.33,0.32,0.32,0.34,0.31,0.3,0.3,0.31,0.31,0.3,0.3,0.3,0.27,0.27,0.27,0.27,0.27,0.25,0.24,0.27,0.26,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.21,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.62
07/19/2021,1.63,1.39,1.39,1.17,1.25,1.21,1.19,1.17,1.12,1.11,1.05,1.03,1.05,0.95,1.0,0.97,1.02,0.99,0.95,0.94,0.97,0.93,0.83,0.84,0.79,0.83,0.83,0.83,0.71,0.85,0.78,0.81,0.77,0.75,0.69,0.68,0.69,0.7,0.67,0.67,0.7,0.66,0.73,0.7,0.69,0.66,0.67,0.6,0.64,0.63,0.62,0.56,0.62,0.59,0.59,0.6,0.6,0.61,0.61,0.59,0.58,0.61,0.58,0.58,0.57,0.57,0.53,0.56,0.55,0.58,0.58,0.58,0.54,0.54,0.51,0.55,0.49,0.52,0.53,0.5,0.5,0.48,0.47,0.0,0.47,0.42,0.47,0.48,0.47,0.47,0.45,0.4,0.38,0.43,0.43,0.43,0.42,0.44,0.42,0.41,0.42,0.42,0.42,0.38,0.4,0.4,0.39,0.39,0.37,0.36,0.39,0.37,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.35,0.35,0.34,0.33,0.33,0.31,0.34,0.32,0.31,0.33,0.32,0.32,0.34,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.26,0.28,0.27,0.27,0.27,0.25,0.26,0.27,0.25,0.26,0.24,0.25,0.25,0.25,0.23,0.23,0.2,0.22,0.23,0.23,0.24,0.22,0.23,0.22,0.21,0.21,0.19,0.19,0.21,0.2,0.2,0.21,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.0,0.15,0.15,0.0,0.15,0.0,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.63
07/20/2021,1.63,1.39,1.39,1.17,1.25,1.21,1.19,1.17,1.12,1.11,1.05,1.03,1.05,0.95,1.0,0.97,1.02,0.99,0.95,0.94,0.97,0.93,0.83,0.84,0.79,0.83,0.83,0.83,0.71,0.85,0.78,0.81,0.77,0.75,0.69,0.68,0.69,0.7,0.67,0.67,0.7,0.66,0.73,0.7,0.69,0.66,0.67,0.6,0.64,0.63,0.62,0.56,0.62,0.59,0.59,0.6,0.6,0.61,0.61,0.59,0.58,0.61,0.58,0.58,0.57,0.57,0.53,0.56,0.55,0.58,0.58,0.58,0.54,0.54,0.51,0.55,0.49,0.52,0.53,0.5,0.5,0.48,0.47,0.0,0.47,0.42,0.47,0.48,0.47,0.47,0.45,0.4,0.38,0.43,0.43,0.43,0.42,0.44,0.42,0.41,0.42,0.42,0.42,0.38,0.4,0.4,0.39,0.39,0.37,0.36,0.39,0.37,0.35,0.35,0.34,0.35,0.35,0.34,0.35,0.35,0.35,0.34,0.33,0.33,0.31,0.34,0.32,0.31,0.33,0.32,0.32,0.34,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.29,0.26,0.28,0.27,0.27,0.27,0.25,0.26,0.27,0.25,0.26,0.24,0.25,0.25,0.25,0.23,0.23,0.2,0.22,0.23,0.23,0.24,0.22,0.23,0.22,0.21,0.21,0.19,0.19,0.21,0.2,0.2,0.21,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.0,0.15,0.15,0.0,0.15,0.0,0.15,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.63
07/21/2021,1.68,1.37,1.42,1.16,1.24,1.22,1.21,1.18,1.1,1.12,1.05,1.04,1.06,0.93,0.99,0.96,1.01,0.98,0.96,0.96,0.95,0.86,0.84,0.82,0.81,0.82,0.84,0.84,0.7,0.85,0.79,0.81,0.76,0.75,0.69,0.67,0.69,0.71,0.69,0.66,0.71,0.64,0.74,0.69,0.7,0.68,0.67,0.61,0.64,0.62,0.63,0.57,0.63,0.59,0.59,0.6,0.6,0.62,0.6,0.59,0.57,0.62,0.58,0.58,0.58,0.58,0.53,0.55,0.55,0.59,0.58,0.56,0.54,0.54,0.49,0.55,0.5,0.52,0.53,0.49,0.51,0.48,0.47,0.0,0.47,0.46,0.48,0.48,0.48,0.45,0.45,0.41,0.38,0.43,0.44,0.43,0.42,0.44,0.42,0.42,0.41,0.41,0.43,0.37,0.39,0.4,0.38,0.38,0.37,0.35,0.39,0.38,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.36,0.33,0.33,0.32,0.32,0.34,0.31,0.31,0.34,0.33,0.31,0.34,0.31,0.3,0.3,0.31,0.3,0.31,0.3,0.28,0.26,0.28,0.26,0.27,0.26,0.25,0.27,0.27,0.25,0.26,0.23,0.25,0.26,0.25,0.23,0.23,0.19,0.22,0.22,0.23,0.23,0.22,0.24,0.22,0.21,0.2,0.19,0.19,0.21,0.2,0.19,0.21,0.19,0.19,0.2,0.19,0.18,0.17,0.17,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.15,0.0,0.15,0.15,0.0,0.15,0.0,0.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.62
07/22/2021,1.68,1.36,1.43,1.19,1.26,1.22,1.21,1.17,1.12,1.12,1.04,1.05,1.08,0.94,0.98,0.97,0.99,0.99,0.97,0.97,0.95,0.84,0.85,0.84,0.83,0.81,0.83,0.84,0.72,0.85,0.79,0.84,0.75,0.74,0.68,0.67,0.7,0.71,0.69,0.66,0.71,0.65,0.74,0.7,0.69,0.69,0.67,0.61,0.62,0.63,0.64,0.59,0.63,0.58,0.58,0.6,0.61,0.65,0.6,0.61,0.58,0.62,0.59,0.56,0.58,0.58,0.53,0.56,0.55,0.58,0.58,0.55,0.54,0.53,0.49,0.55,0.51,0.52,0.54,0.49,0.5,0.48,0.45,0.0,0.48,0.5,0.47,0.47,0.46,0.44,0.45,0.42,0.39,0.44,0.44,0.44,0.42,0.44,0.41,0.41,0.41,0.41,0.43,0.37,0.39,0.4,0.38,0.38,0.37,0.35,0.38,0.38,0.35,0.34,0.34,0.34,0.34,0.33,0.35,0.33,0.36,0.33,0.33,0.32,0.32,0.34,0.31,0.3,0.34,0.33,0.31,0.35,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.27,0.26,0.27,0.26,0.27,0.26,0.25,0.28,0.26,0.26,0.26,0.23,0.25,0.25,0.25,0.23,0.23,0.19,0.22,0.22,0.23,0.23,0.21,0.24,0.22,0.21,0.2,0.19,0.19,0.21,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.19,0.2,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.17,0.17,0.17,0.15,0.0,0.16,0.0,0.0,0.15,0.14,0.0,0.0,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.73
